price,volume,time,buy/sell,market/limit,miscellaneous
2912.89000,0.00066296,1647771524.9025295,b,l,
2916.86000,1.00000000,1647771741.3838224,b,l,
2916.85000,0.01394357,1647771748.1141374,s,m,
2916.85000,0.15677643,1647771748.1163378,s,m,
2916.85000,0.20322357,1647771748.1174695,s,m,
2916.85000,0.57601737,1647771748.1201537,s,m,
2916.85000,0.02438241,1647771748.122405,s,m,
2916.85000,0.40334696,1647771748.1248448,s,m,
2916.85000,1.42230969,1647771748.1272483,s,m,
2916.85000,0.80147860,1647771755.983703,s,m,
2916.85000,0.28913462,1647771755.987132,s,m,
2916.82000,1.60000000,1647771755.988851,s,m,
2916.42000,1.20086538,1647771755.9903116,s,m,
2916.42000,1.10852140,1647771755.9923403,s,m,
2915.28000,0.00100000,1647771847.5853214,b,l,
2915.29000,0.00100000,1647771847.5872145,b,l,
2915.32000,0.32552483,1647771847.5886352,b,l,
2915.33000,0.39535446,1647771847.589884,b,l,
2914.97000,0.00686456,1647771919.453733,b,m,
2914.39000,0.01524199,1647771942.1205027,b,l,
2914.39000,0.00564972,1647771942.1224701,b,l,
2914.39000,0.05892146,1647771942.1242716,b,l,
2914.40000,0.30000000,1647771942.125517,b,l,
2914.41000,0.03636045,1647771942.1265135,b,l,
2914.42000,0.09789851,1647771942.1275272,b,l,
2914.42000,0.00295703,1647771942.1290665,b,l,
2914.42000,0.24197084,1647771942.130582,b,l,
2914.09000,0.09048790,1647771954.2359004,b,l,
2914.09000,0.28251210,1647771954.2378874,b,l,
2914.09000,0.00126000,1647771954.706126,b,l,
2914.09000,0.01475854,1647771964.8278983,b,m,
2913.92000,0.19601247,1647772120.3520908,s,m,
2917.09000,0.04972668,1647772247.5284884,b,l,
2917.10000,0.02120799,1647772247.5299969,b,l,
2919.08000,0.02000000,1647772358.1818948,s,m,
2917.73000,0.15218253,1647772417.6907678,s,l,
2920.01000,0.00136684,1647772501.4993532,b,l,
2920.56000,0.00823725,1647772523.0761795,b,l,
2920.45000,0.10000000,1647772524.3270235,b,m,
2920.45000,0.40000000,1647772524.3292172,b,m,
2920.45000,0.03000000,1647772524.3310637,b,m,
2920.45000,0.30650329,1647772524.3331115,b,m,
2920.46000,0.01349671,1647772524.334124,b,m,
2920.40000,0.02000000,1647772547.594635,b,l,
2920.43000,0.00100000,1647772547.596212,b,l,
2920.44000,0.01045733,1647772547.5983925,b,l,
2919.48000,0.00477000,1647772613.0508413,s,l,
2919.99000,0.46174566,1647772700.517365,b,m,
2919.99000,0.45324986,1647772700.5189853,b,m,
2919.99000,0.00477000,1647772700.5201175,b,m,
2920.10000,0.14585833,1647772700.5210636,b,m,
2920.12000,0.01181449,1647772700.5219774,b,m,
2920.20000,0.30000000,1647772700.5230014,b,m,
2920.20000,0.03424500,1647772700.523842,b,m,
2920.22000,0.58831666,1647772700.5247166,b,m,
2921.00000,0.30000000,1647772718.6458871,b,m,
2921.52000,0.07100000,1647772718.6469152,b,m,
2921.53000,1.62900000,1647772718.648492,b,m,
2921.07000,2.00000000,1647772734.8577158,b,m,
2921.19000,0.01711708,1647772760.1602318,b,m,
2921.56000,2.00000000,1647772796.0200558,s,m,
2921.56000,2.00000000,1647772796.0233514,s,m,
2921.56000,2.00000000,1647772796.0259922,s,m,
2921.57000,2.00000000,1647772796.0298207,b,m,
2921.57000,2.00000000,1647772796.0333054,b,m,
2921.57000,2.00000000,1647772796.0374603,b,m,
2921.99000,0.03421800,1647772833.9616332,s,l,
2921.99000,0.03287469,1647772833.9630332,s,l,
2921.99000,0.01280540,1647772834.0274458,s,l,
2921.99000,0.04277114,1647772834.0288525,s,l,
2922.00000,0.03025357,1647772861.530732,b,l,
2922.00000,0.06081345,1647772861.532468,b,l,
2923.24000,0.69970306,1647772871.394031,b,m,
2923.24000,1.30029694,1647772875.8997002,b,l,
2923.71000,2.78102733,1647772875.900884,b,l,
2923.74000,0.00438928,1647772875.9030073,b,l,
2924.00000,3.69742268,1647772875.904866,b,l,
2924.06000,4.00000000,1647772875.9059849,b,l,
2924.12000,1.76000000,1647772875.907335,b,l,
2924.24000,0.01455472,1647772875.9091506,b,l,
2924.27000,0.03419700,1647772875.9104817,b,l,
2924.32000,51.29690346,1647772875.9114087,b,l,
2924.35000,3.90707584,1647772875.912743,b,l,
2924.37000,3.88171160,1647772875.9139042,b,l,
2924.42000,20.52145441,1647772875.9149418,b,l,
2924.49000,3.41910191,1647772875.916729,b,l,
2924.51000,2.65757968,1647772875.9180453,b,l,
2924.51000,7.63242032,1647772875.920419,b,l,
2924.54000,0.28000538,1647772917.586857,s,l,
2924.54000,0.54000000,1647772979.9774494,s,l,
2924.54000,0.23000000,1647772980.0940435,s,l,
2924.54000,0.01568000,1647772980.1951034,s,l,
2924.54000,2.62000000,1647772981.731178,s,l,
2924.54000,1.84885761,1647772981.734591,s,l,
2924.54000,0.04032138,1647772981.736284,s,l,
2922.00000,0.30000000,1647772983.1772673,b,m,
2921.99000,0.02200000,1647773014.4998472,s,m,
2920.51000,0.03145987,1647773124.707736,b,l,
2920.50000,0.01155015,1647773238.4787304,s,l,
2920.51000,0.01531718,1647773267.8691494,b,l,
2921.14000,0.01472003,1647773404.9445288,b,m,
2921.97000,0.50308525,1647773416.9591522,b,m,
2921.93000,0.00873724,1647773456.8380551,b,l,
2922.00000,0.01677439,1647773518.960692,b,l,
2921.93000,0.14292126,1647773567.9925447,b,l,
2921.92000,0.15748790,1647773665.0052216,s,l,
2921.92000,0.03454821,1647773665.006993,s,l,
2921.92000,0.00364911,1647773665.0081067,s,l,
2921.92000,0.10551931,1647773665.0091527,s,l,
2921.92000,1.05279547,1647773665.1829026,s,l,
2921.92000,0.11748790,1647773665.1846004,s,l,
2921.92000,0.01617253,1647773665.1862085,s,l,
2921.92000,0.05000000,1647773665.1873991,s,l,
2921.92000,0.04582747,1647773665.1887507,s,l,
2921.92000,0.01553945,1647773665.1899471,s,l,
2921.92000,0.01305238,1647773665.1911912,s,l,
2921.92000,0.09912480,1647773665.1923745,s,l,
2921.92000,0.00279547,1647773665.2190921,s,l,
2921.03000,0.95383826,1647773665.3276446,s,l,
2921.00000,0.63942827,1647773666.3226075,s,l,
2921.00000,0.07843285,1647773667.3163817,s,l,
2921.00000,0.02849757,1647773667.4342084,s,l,
2921.00000,0.05364131,1647773671.3789303,s,l,
2921.00000,0.16434683,1647773671.3804238,s,l,
2917.29000,0.07843285,1647773690.364786,s,l,
2917.29000,0.20000000,1647773690.374041,s,m,
2918.51000,0.02527514,1647773723.266931,s,l,
2918.98000,0.14710298,1647773736.6066337,s,l,
2918.98000,0.11941835,1647773736.607912,s,l,
2918.98000,0.17072000,1647773736.9097867,s,l,
2918.98000,1.30639900,1647773736.9111447,s,l,
2919.35000,0.09881355,1647773760.877068,s,l,
2919.35000,0.95412899,1647773761.1870587,s,l,
2919.35000,0.10293685,1647773761.481058,s,l,
2919.35000,0.73986746,1647773762.3568065,s,l,
2919.35000,0.07936521,1647773762.8834827,s,l,
2919.35000,0.11800454,1647773764.9632535,s,l,
2919.35000,0.02866555,1647773765.259661,s,l,
2919.35000,0.85785663,1647773766.320615,s,l,
2919.35000,0.33551404,1647773767.0834458,s,l,
2919.35000,1.02928558,1647773767.383952,s,l,
2919.35000,0.03456619,1647773767.68506,s,l,
2919.24000,0.49640539,1647773768.3319395,s,l,
2919.24000,0.04013863,1647773770.4068365,s,l,
2919.24000,0.06275829,1647773770.715497,s,l,
2918.13000,0.02638825,1647773772.3447096,s,l,
2918.13000,0.22297660,1647773772.827112,s,l,
2917.42000,1.20619000,1647773782.2095175,s,l,
2917.44000,0.01635220,1647773787.0379581,b,m,
2917.35000,2.00000000,1647773810.196571,b,l,
2917.19000,0.03360272,1647773968.6615121,b,l,
2916.44000,0.01221552,1647774028.0290837,b,l,
2915.87000,0.01584432,1647774112.0899472,s,l,
2914.68000,0.07329662,1647774112.0914013,s,l,
2914.81000,0.06644206,1647774145.5445187,s,l,
2914.81000,8.79500000,1647774145.5456793,s,l,
2914.81000,51.45918303,1647774145.5467625,s,l,
2914.65000,0.03430400,1647774145.5486784,s,l,
2914.62000,4.70000000,1647774145.5495756,s,l,
2914.41000,2.61301451,1647774145.550787,s,l,
2914.40000,3.72353737,1647774145.551681,s,l,
2914.30000,20.58038435,1647774145.5526936,s,l,
2914.08000,3.42977049,1647774145.554437,s,l,
2914.08000,16.93413422,1647774145.5557573,s,l,
2914.70000,0.04000000,1647774153.9611583,s,m,
2914.70000,0.03430400,1647774155.0573442,s,m,
2914.38000,0.05972328,1647774155.0583212,s,m,
2918.64000,0.10000000,1647774233.3800476,b,l,
2919.21000,0.50000000,1647774266.3310125,s,m,
2919.32000,0.06251699,1647774266.6820526,s,l,
2919.45000,0.85786002,1647774268.7385406,s,l,
2919.45000,0.14746944,1647774269.038152,s,l,
2919.45000,0.85786912,1647774270.3209023,s,l,
2919.45000,0.12694012,1647774270.8652942,s,l,
2919.46000,0.17141060,1647774271.1667306,s,l,
2919.54000,0.85787151,1647774271.4663858,s,l,
2919.54000,0.73952465,1647774272.3289175,s,l,
2919.54000,0.03132129,1647774272.9131632,s,l,
2919.54000,0.85785751,1647774274.9819875,s,l,
2919.54000,0.14332885,1647774275.6130595,s,l,
2919.54000,0.85786871,1647774276.3369465,s,l,
2919.54000,0.11855007,1647774277.2848637,s,l,
2919.54000,0.89772165,1647774277.5882976,s,l,
2919.54000,0.10293141,1647774277.9899886,s,l,
2919.54000,0.10285088,1647774278.290843,s,l,
2919.54000,0.67369946,1647774278.5919788,s,l,
2919.54000,0.19204440,1647774281.6561143,s,l,
2919.54000,0.03760680,1647774281.95665,s,l,
2919.54000,0.14081285,1647774282.2564957,s,l,
2919.20000,0.10184912,1647774282.5563493,s,l,
2919.20000,0.17072000,1647774283.320609,s,l,
2919.20000,0.68714456,1647774283.3221118,s,l,
2919.15000,0.85794016,1647774284.323665,s,l,
2919.21000,0.85794016,1647774285.3231897,s,l,
2919.25000,0.85794016,1647774286.3212788,s,l,
2919.26000,0.85794016,1647774287.3225143,s,l,
2918.99000,0.05000000,1647774293.8834546,s,m,
2918.35000,0.33402838,1647774319.336913,s,l,
2918.36000,0.00312937,1647774322.5183933,b,l,
2918.45000,0.00530706,1647774342.5281544,b,m,
2918.54000,0.00089537,1647774373.495521,b,l,
2919.64000,0.37539830,1647774419.242739,s,l,
2919.70000,0.70962467,1647774421.3280873,s,l,
2919.74000,0.17256706,1647774421.6184788,s,l,
2919.74000,0.05738823,1647774422.4121761,s,l,
2918.99000,0.05071046,1647774422.7113407,s,l,
2919.36000,0.00100000,1647774425.6020262,b,l,
2919.37000,0.00088930,1647774425.6038656,b,l,
2919.66000,0.08563491,1647774429.1169937,b,m,
2918.19000,0.00980069,1647774590.666517,b,l,
2917.71000,0.02530107,1647774613.271838,b,l,
2917.70000,0.00286252,1647774703.1266499,s,l,
2916.94000,0.04130641,1647774722.650749,b,l,
2916.94000,0.09697362,1647774724.2297928,b,m,
2916.48000,0.00641572,1647774754.2094986,b,l,
2916.16000,0.06468160,1647774815.1792653,s,l,
2916.30000,0.00787815,1647774839.641717,b,l,
2915.73000,0.02623000,1647774910.4350328,s,l,
2914.61000,0.09029778,1647774951.9640176,b,l,
2914.88000,0.00318710,1647774960.7036908,b,m,
2914.23000,0.06250117,1647774974.588777,b,l,
2914.05000,0.07804719,1647774974.8875062,b,l,
2913.90000,0.15564740,1647774976.59908,b,l,
2913.90000,0.07659628,1647774976.9003434,b,l,
2914.03000,0.86230932,1647774977.2828915,b,l,
2913.90000,0.80168444,1647774978.341993,b,l,
2913.34000,0.09423379,1647774999.732008,b,l,
2913.24000,0.14701162,1647775025.346641,b,m,
2912.82000,0.08409817,1647775066.0016499,s,m,
2915.79000,0.00100000,1647775123.1844075,s,m,
2915.79000,3.10900000,1647775123.1859076,s,m,
2916.35000,0.05295743,1647775146.5094538,b,m,
2916.39000,2.00000000,1647775262.860026,s,l,
2917.37000,0.28000000,1647775307.1920114,s,m,
2919.32000,0.09007611,1647775358.8520455,s,l,
2919.14000,0.02713889,1647775359.6662226,s,l,
2919.62000,0.03501516,1647775366.4002905,s,l,
2919.66000,0.17072000,1647775368.609505,s,l,
2919.51000,0.18109826,1647775368.6108127,s,l,
2919.53000,0.17141534,1647775368.9083636,s,l,
2919.53000,0.02889742,1647775369.3275132,s,l,
2919.53000,0.07023432,1647775370.7562692,s,l,
2919.53000,0.06690243,1647775371.055695,s,l,
2919.82000,0.19061124,1647775374.294758,s,l,
2919.82000,0.89280688,1647775374.83577,s,l,
2919.82000,0.85786409,1647775376.9472988,s,l,
2919.70000,0.93657024,1647775379.1523228,s,l,
2919.82000,0.51422078,1647775379.449258,s,l,
2919.83000,0.44486314,1647775380.3322625,s,l,
2919.83000,0.11435693,1647775381.1496654,s,l,
2919.72000,0.58857583,1647775381.4511635,s,l,
2919.72000,0.51418599,1647775382.3343918,s,l,
2919.72000,0.51417855,1647775383.3282714,s,l,
2919.57000,0.51417855,1647775384.3300683,s,l,
2918.87000,0.02616241,1647775386.382784,s,l,
2918.91000,0.00362546,1647775440.7783835,s,l,
2919.59000,0.14087991,1647775512.9938278,b,l,
2919.60000,0.03425400,1647775512.9951885,b,l,
2919.62000,6.22500000,1647775512.996464,b,l,
2919.63000,2.89919300,1647775512.9975548,b,l,
2919.73000,46.71687488,1647775512.998948,b,l,
2919.52000,0.00541926,1647775574.5808406,b,l,
2917.99000,0.00100000,1647775625.6487846,b,l,
2917.53000,0.51169310,1647775799.0601404,s,l,
2915.01000,0.00675965,1647775805.7150092,b,l,
2915.01000,0.00144932,1647775913.871367,b,l,
2915.00000,1.20000000,1647775940.9644332,s,m,
2914.07000,2.86261535,1647775940.9656959,s,m,
2914.06000,3.80880444,1647775940.9669573,s,m,
2913.66000,0.03432100,1647775940.968351,s,m,
2913.61000,2.09425921,1647775940.9693615,s,m,
2910.32000,0.00100000,1647776060.8516014,s,m,
2910.32000,0.04900000,1647776060.8532856,s,m,
2910.98000,0.00100000,1647776077.5289648,s,m,
2910.98000,0.14129660,1647776077.5306144,s,m,
2910.98000,0.00770340,1647776077.5318167,s,m,
2913.12000,1.16220640,1647776196.6679034,s,l,
2913.11000,0.83779360,1647776196.6693318,s,l,
2913.85000,0.09399658,1647776224.742674,b,l,
2913.29000,0.00168469,1647776248.109601,s,l,
2912.40000,0.12366000,1647776257.7237253,s,l,
2912.33000,0.00961237,1647776270.987034,b,m,
2911.99000,0.03247995,1647776371.725163,b,l,
2911.98000,0.23374600,1647776389.591802,s,m,
2910.91000,0.95871451,1647776396.0758579,b,l,
2910.53000,0.00784450,1647776441.9566395,s,l,
2910.53000,0.00766712,1647776443.337206,s,l,
2910.37000,0.05874190,1647776454.0483544,b,l,
2910.37000,0.66400000,1647776454.0506577,b,l,
2910.37000,0.06625810,1647776454.0523164,b,l,
2907.52000,0.13168423,1647776469.1042643,b,l,
2907.61000,0.03439300,1647776469.105947,b,l,
2907.71000,0.09466467,1647776469.1069295,b,l,
2907.71000,0.12725810,1647776469.1090994,b,l,
2907.43000,2.00500000,1647776478.982473,b,l,
2907.59000,0.03388075,1647776481.8929412,b,l,
2907.41000,0.00511004,1647776484.2103016,b,l,
2907.20000,0.00640217,1647776485.3638628,b,l,
2906.96000,0.02317448,1647776485.9794114,b,l,
2906.57000,0.05000000,1647776486.150041,s,m,
2906.58000,0.01497082,1647776486.2868245,b,l,
2906.58000,2.00000000,1647776487.9894254,b,l,
2907.97000,1.00000000,1647776495.9928145,b,l,
2906.28000,0.00494264,1647776500.589438,b,l,
2906.11000,0.00179611,1647776501.8977177,b,l,
2905.80000,0.01058813,1647776503.793152,b,l,
2905.80000,0.33352315,1647776503.8145862,b,l,
2905.80000,1.00000000,1647776504.0219069,b,l,
2906.17000,0.00791370,1647776506.0018919,b,m,
2906.17000,0.99208630,1647776506.0045238,b,m,
2907.15000,0.05000000,1647776528.798981,s,m,
2907.73000,0.03421115,1647776547.740524,b,l,
2907.42000,0.07912847,1647776549.5699217,b,l,
2907.06000,0.35961934,1647776551.44106,s,l,
2907.05000,0.56200858,1647776551.4421391,s,l,
2907.04000,1.40585498,1647776551.443031,s,l,
2907.03000,0.81521150,1647776551.444133,s,l,
2906.82000,0.03440200,1647776551.44501,s,l,
2906.66000,20.63708822,1647776551.4460814,s,l,
2906.48000,0.09135149,1647776712.9824724,s,m,
2906.48000,0.00200000,1647776712.983989,s,m,
2906.47000,0.00200000,1647776712.9856005,s,m,
2906.19000,0.02106106,1647776712.9868925,s,m,
2906.49000,0.00106636,1647776715.5671737,b,l,
2906.74000,0.01557459,1647776715.6492512,b,l,
2906.69000,0.05847466,1647776724.2346427,b,m,
2907.87000,0.00057000,1647776731.2380915,s,l,
2908.65000,0.00955792,1647776750.9798462,b,m,
2908.74000,0.05707657,1647776801.5196874,s,m,
2908.91000,0.02200000,1647776805.216967,b,m,
2908.88000,0.00200000,1647776812.8844402,s,m,
2908.87000,0.00100000,1647776812.886358,s,m,
2908.87000,0.00100000,1647776812.88745,s,m,
2908.87000,0.17072000,1647776812.8887522,s,m,
2908.85000,1.00000000,1647776812.8898053,s,m,
2908.84000,1.82528000,1647776812.890803,s,m,
2907.21000,0.02837412,1647776941.9308157,s,m,
2906.49000,10.00000000,1647776955.399385,b,l,
2905.00000,0.20000000,1647776980.1369495,s,m,
2905.00000,0.04096385,1647776980.142493,s,l,
2905.00000,0.00100000,1647776980.1438327,s,l,
2904.99000,0.00100000,1647776980.1454287,s,l,
2904.98000,0.95703615,1647776980.1464846,s,l,
2904.48000,4.05000000,1647776987.3257575,b,l,
2904.54000,5.95000000,1647776987.3270445,b,l,
2903.93000,0.00494640,1647777029.3308127,s,l,
2903.93000,0.00100000,1647777029.3322527,s,l,
2903.92000,0.00438928,1647777029.334916,s,l,
2903.92000,0.00100000,1647777029.3366385,s,l,
2903.25000,0.03445200,1647777051.2291768,b,l,
2903.25000,0.14135149,1647777051.23016,b,l,
2903.25000,0.02419651,1647777051.2310755,b,l,
2903.24000,0.02712731,1647777068.4180062,s,l,
2903.24000,0.01046444,1647777069.9456568,s,l,
2903.24000,1.42000000,1647777073.247893,s,m,
2903.24000,0.54240825,1647777096.4403648,s,m,
2903.24000,0.00100000,1647777096.441359,s,m,
2903.24000,0.00100000,1647777096.4428968,s,m,
2903.24000,0.17072000,1647777096.4439785,s,m,
2903.23000,0.00100000,1647777096.44512,s,m,
2903.23000,0.00100000,1647777096.4461946,s,m,
2901.97000,3.78937200,1647777096.4472618,s,m,
2901.96000,1.01025038,1647777096.4483478,s,m,
2901.64000,0.01363714,1647777101.0045571,s,m,
2902.13000,0.03899291,1647777138.3547857,b,m,
2902.03000,0.00241000,1647777149.8970401,s,l,
2902.80000,0.00300000,1647777187.7066536,s,l,
2902.79000,0.00400000,1647777187.7084172,s,l,
2902.79000,0.04540683,1647777187.709695,s,l,
2903.08000,0.00241000,1647777212.9623885,b,m,
2903.09000,0.00241000,1647777212.9635098,b,m,
2903.10000,0.01128957,1647777212.9646626,b,m,
2904.25000,3.05880976,1647777258.8749027,s,l,
2904.12000,0.34433839,1647777280.0419576,b,m,
2904.11000,0.00100000,1647777305.7491422,s,l,
2904.11000,0.00100000,1647777305.751053,s,l,
2904.10000,0.05000000,1647777305.7527838,s,l,
2904.10000,0.00200000,1647777305.753815,s,l,
2902.41000,0.22541437,1647777305.7549508,s,l,
2902.43000,0.10344020,1647777306.0509987,s,l,
2902.47000,0.00200000,1647777306.9104571,s,l,
2902.46000,0.10142207,1647777306.9118536,s,l,
2902.25000,0.00200000,1647777308.6904979,s,m,
2902.24000,0.10117000,1647777308.6920586,s,m,
2901.01000,0.00100000,1647777327.1469731,s,l,
2901.00000,5.00000000,1647777327.1498594,s,l,
2901.00000,0.00200000,1647777327.1511726,s,l,
2900.47000,0.25000000,1647777344.2906768,b,m,
2900.46000,0.01455472,1647777349.943494,s,l,
2900.46000,0.00100000,1647777349.945137,s,l,
2900.46000,0.00100000,1647777349.94724,s,l,
2900.46000,0.00100000,1647777349.9486668,s,l,
2900.46000,0.00936372,1647777349.9500885,s,l,
2900.46000,0.02343771,1647777349.951656,s,l,
2900.46000,0.01601763,1647777349.9531107,s,l,
2900.46000,0.13362622,1647777349.9545455,s,l,
2900.46000,0.10229662,1647777361.6537004,s,l,
2900.46000,0.12046979,1647777361.6551418,s,l,
2900.47000,0.01182754,1647777377.0452447,b,l,
2900.46000,0.00013295,1647777389.5052176,s,l,
2900.46000,0.03661122,1647777389.5071278,s,l,
2900.46000,0.48104414,1647777400.4279478,s,l,
2900.46000,0.00200000,1647777400.4293284,s,l,
2900.46000,0.00574190,1647777400.4309514,s,l,
2900.46000,0.37589743,1647777400.4320233,s,l,
2900.46000,0.07336067,1647777400.433018,s,l,
2900.45000,0.00195586,1647777400.4343553,s,l,
2900.45000,0.00080233,1647777400.4711525,s,l,
2900.45000,0.00100000,1647777400.472344,s,l,
2900.45000,0.00100000,1647777400.4739664,s,l,
2900.45000,0.00100000,1647777400.4752378,s,l,
2900.36000,0.20000000,1647777401.5722408,s,l,
2900.36000,0.00200000,1647777401.612816,s,l,
2900.01000,0.00200000,1647777402.6751676,s,l,
2900.00000,12.47702710,1647777402.6773036,s,l,
2900.00000,0.30000000,1647777402.6823463,s,m,
2900.00000,5.02363987,1647777402.6857216,s,m,
2900.00000,0.00240793,1647777402.6871161,s,m,
2900.00000,0.21235248,1647777402.6899104,s,m,
2900.00000,0.00200000,1647777402.6906853,s,m,
2899.99000,0.01721890,1647777402.691913,s,m,
2899.74000,0.05046520,1647777402.6933668,s,m,
2899.66000,0.02880031,1647777402.6944141,s,m,
2899.00000,1.66004001,1647777402.696054,s,m,
2898.98000,0.00270000,1647777402.6983008,s,m,
2898.80000,2.95251384,1647777402.6998332,s,m,
2898.79000,0.01692154,1647777402.7010956,s,m,
2898.76000,0.50000000,1647777402.703233,s,m,
2898.71000,0.01264157,1647777402.7052782,s,m,
2898.63000,0.00345999,1647777402.7072923,s,m,
2898.40000,0.01035087,1647777402.7091353,s,m,
2898.40000,3.46943977,1647777402.7102492,s,m,
2897.78000,3.91716083,1647777402.711303,s,m,
2897.77000,3.76672657,1647777402.712476,s,m,
2897.60000,3.41151633,1647777402.7134693,s,m,
2897.57000,0.17238615,1647777402.7146275,s,m,
2897.24000,51.77126153,1647777402.7154498,s,m,
2897.18000,2.42604166,1647777402.717161,s,m,
2897.16000,0.00168418,1647777402.718946,s,m,
2897.13000,0.02090792,1647777402.7209332,s,m,
2897.12000,0.00247488,1647777402.7228074,s,m,
2897.00000,0.01119422,1647777402.7239377,s,m,
2896.89000,0.57251820,1647777402.7252982,s,m,
2896.87000,0.10483086,1647777402.7266414,s,m,
2896.80000,1.10045433,1647777402.7277513,s,m,
2896.67000,0.52208945,1647777402.72896,s,m,
2896.58000,20.70613321,1647777402.7299604,s,m,
2896.54000,0.19289303,1647777402.7314894,s,m,
2896.54000,0.46875616,1647777402.7326741,s,m,
2896.50000,0.72068316,1647777402.7335117,s,m,
2896.30000,0.00209655,1647777402.7346268,s,m,
2896.10000,1.76000000,1647777402.7356248,s,m,
2895.95000,0.01040815,1647777402.7378747,s,m,
2895.95000,0.66216069,1647777402.739096,s,m,
2895.90000,2.74215023,1647777402.7400417,s,m,
2895.88000,0.35971295,1647777402.7409246,s,m,
2895.88000,1.43592764,1647777402.7425373,s,m,
2895.77000,0.72069962,1647777402.7434356,s,m,
2895.71000,1.00375792,1647777402.7444491,s,m,
2895.69000,0.51674472,1647777402.7455733,s,m,
2895.58000,51.16310658,1647777402.7465446,s,m,
2897.11000,0.88350946,1647777403.0100312,s,l,
2896.70000,0.30000000,1647777423.6489975,s,l,
2896.14000,0.03452600,1647777423.7039135,s,l,
2895.12000,0.52559914,1647777423.704812,s,l,
2895.11000,0.06485619,1647777423.706046,s,l,
2895.00000,0.00791370,1647777423.707908,s,l,
2895.00000,0.99208630,1647777423.7091136,s,l,
2895.00000,0.20000000,1647777423.709985,s,l,
2894.73000,0.02127659,1647777423.7113895,s,l,
2894.73000,0.32322576,1647777423.7127051,s,l,
2894.59000,0.01356391,1647777423.8214264,s,m,
2894.59000,0.02097459,1647777423.824672,s,m,
2894.55000,0.00886895,1647777423.8264723,s,m,
2894.53000,0.12547305,1647777423.8277946,s,m,
2894.53000,0.04720565,1647777423.8307886,s,m,
2894.53000,0.19832381,1647777423.833861,s,m,
2894.53000,0.35009270,1647777423.8379157,s,m,
2894.29000,2.77314112,1647777423.8393385,s,m,
2894.28000,2.00000000,1647777423.8409178,s,m,
2894.03000,0.00175836,1647777423.842902,s,m,
2893.96000,0.01691372,1647777423.8449574,s,m,
2893.77000,0.72110611,1647777423.8468108,s,m,
2893.74000,0.01499849,1647777423.849165,s,m,
2893.71000,0.01035998,1647777423.8509634,s,m,
2893.51000,0.34452859,1647777423.8525603,s,m,
2893.51000,2.32720814,1647777423.8547153,s,m,
2893.50000,19.45041075,1647777423.8564863,s,m,
2893.42000,0.00440521,1647777423.8587346,s,m,
2893.39000,0.14431701,1647777423.8609529,s,m,
2893.28000,1.63094948,1647777423.862431,s,m,
2893.17000,0.01036925,1647777423.8642569,s,m,
2893.17000,1.10377768,1647777423.8659554,s,m,
2893.01000,3.52777175,1647777423.8673358,s,m,
2893.00000,0.19188386,1647777423.869138,s,m,
2892.99000,0.08598486,1647777423.8706958,s,m,
2892.80000,0.69571765,1647777423.87215,s,m,
2892.48000,2.30000000,1647777423.8734455,s,m,
2892.47000,62.29430529,1647777423.874792,s,m,
